angle,pesos_first,pesos_second
-46.5,[ 1.04362334  0.03122222 -0.12141026  0.01275122],[ 1.02364261  0.04180377 -0.26679988  0.00945076]
-46.4,[ 1.043039    0.03115156 -0.12113552  0.01272237],[ 1.02425053  0.04191044 -0.26748068  0.00947488]
-46.3,[ 1.04245627  0.03108111 -0.12086154  0.01269359],[ 1.02485466  0.04201644 -0.26815722  0.00949884]
-46.2,[ 1.04187596  0.03101094 -0.12058869  0.01266494],[ 1.02545419  0.04212164 -0.2688286   0.00952263]
-46.1,[ 1.04129806  0.03094107 -0.12031697  0.0126364 ],[ 1.02604915  0.04222604 -0.26949487  0.00954623]
-46.0,[ 1.04072176  0.03087139 -0.12004602  0.01260794],[ 1.02664038  0.04232978 -0.27015697  0.00956968]
-45.9,[ 1.04014787  0.030802   -0.11977619  0.0125796 ],[ 1.0272271   0.04243272 -0.270814    0.00959295]
-45.8,[ 1.03957639  0.0307329  -0.11950749  0.01255138],[ 1.02780932  0.04253488 -0.27146601  0.00961605]
-45.7,[ 1.0390065   0.03066399 -0.11923955  0.01252324],[ 1.02838788  0.0426364  -0.27211391  0.009639  ]
-45.6,[ 1.03843822  0.03059528 -0.11897236  0.01249518],[ 1.0289628   0.04273728 -0.27275775  0.00966181]
-45.5,[ 1.03787234  0.03052686 -0.1187063   0.01246724],[ 1.0295333   0.04283739 -0.27339663  0.00968444]
-45.4,[ 1.03730885  0.03045873 -0.11844136  0.01243941],[ 1.03009941  0.04293672 -0.27403059  0.00970689]
-45.3,[ 1.03674696  0.03039079 -0.11817717  0.01241166],[ 1.03066195  0.04303542 -0.27466055  0.00972921]
-45.2,[ 1.03618745  0.03032314 -0.11791411  0.01238404],[ 1.03122015  0.04313337 -0.27528565  0.00975135]
-45.1,[ 1.03562954  0.03025568 -0.1176518   0.01235649],[ 1.03177481  0.04323069 -0.2759068   0.00977335]
-45.0,[ 1.03507401  0.03018851 -0.1173906   0.01232905],[ 1.03232518  0.04332727 -0.27652314  0.00979519]
-44.9,[ 1.03452008  0.03012153 -0.11713016  0.0123017 ],[ 1.03287207  0.04342322 -0.27713557  0.00981688]
-44.8,[ 1.03396852  0.03005485 -0.11687083  0.01227447],[ 1.0334147   0.04351844 -0.27774324  0.00983841]
-44.7,[ 1.03341776  0.02998825 -0.11661188  0.01224727],[ 1.03395467  0.04361318 -0.27834792  0.00985982]
-44.6,[ 1.03287017  0.02992204 -0.11635442  0.01222023],[ 1.03448965  0.04370706 -0.27894703  0.00988105]
-44.5,[ 1.03232337  0.02985593 -0.11609733  0.01219323],[ 1.035022    0.04380046 -0.27954319  0.00990216]
-44.4,[ 1.03177895  0.0297901  -0.11584136  0.01216634],[ 1.03555019  0.04389314 -0.28013468  0.00992312]
-44.3,[ 1.0312369   0.02972456 -0.1155865   0.01213958],[ 1.03607424  0.0439851  -0.28072155  0.00994391]
-44.2,[ 1.03069643  0.02965921 -0.11533239  0.01211289],[ 1.03659495  0.04407646 -0.28130467  0.00996456]
-44.1,[ 1.03015675  0.02959396 -0.11507864  0.01208624],[ 1.03711309  0.04416738 -0.28188491  0.00998511]
-44.0,[ 1.02962023  0.02952909 -0.11482639  0.01205975],[ 1.03762639  0.04425745 -0.28245974  0.01000548]
-43.9,[ 1.02908449  0.02946431 -0.1145745   0.01203329],[ 1.03813716  0.04434707 -0.28303173  0.01002574]
-43.8,[ 1.02855112  0.02939982 -0.11432372  0.01200695],[ 1.0386439   0.04443598 -0.2835992   0.01004584]
-43.7,[ 1.02801932  0.02933552 -0.11407368  0.01198069],[ 1.03914739  0.04452433 -0.28416303  0.01006581]
-43.6,[ 1.02748909  0.02927141 -0.11382438  0.01195451],[ 1.03964763  0.0446121  -0.28472323  0.01008566]
-43.5,[ 1.02696123  0.02920759 -0.1135762   0.01192844],[ 1.0401439   0.04469918 -0.28527899  0.01010534]
-43.4,[ 1.02643493  0.02914395 -0.11332875  0.01190245],[ 1.04063698  0.0447857  -0.28583116  0.0101249 ]
-43.3,[ 1.02590941  0.02908041 -0.11308166  0.0118765 ],[ 1.04112761  0.04487179 -0.2863806   0.01014436]
-43.2,[ 1.02538705  0.02901725 -0.11283606  0.01185071],[ 1.04161359  0.04495706 -0.28692483  0.01016364]
-43.1,[ 1.02486546  0.02895419 -0.11259083  0.01182495],[ 1.04209716  0.04504191 -0.28746636  0.01018282]
-43.0,[ 1.02434544  0.02889131 -0.11234633  0.01179927],[ 1.04257759  0.04512621 -0.28800437  0.01020188]
